,name,price,discount,star,seller_name,seller_star,link
0,RESIST EYEWEAR Black Rectangular Sunglasses ( Pack of 1 ),Rs. 930,"MRP  Rs. 3,199  (Inclusive of all taxes)",(4.5),Vl Enterprise Llp,(4.2),https://www.snapdeal.com/product/resist-eyewear-black-rectangular-sunglasses/675322456895#bcrumbSearch:sunglass
1,"RESIST EYEWEAR - Black Round,Pilot Sunglasses ( Pack of 1 )",Rs. 1077,"MRP  Rs. 4,999  (Inclusive of all taxes)",(4.5),Vl Enterprise Llp,(4.2),https://www.snapdeal.com/product/resist-eyewear-black-roundpilot-sunglasses/684849003899#bcrumbSearch:sunglass
2,Kanny Devis - Black Rectangular Sunglasses ( Pack of 1 ),Rs. 148,"MRP  Rs. 1,299  (Inclusive of all taxes)",(4.5),Az-Aarjav,(3.9),https://www.snapdeal.com/product/kanny-devis-black-rectangular-sunglasses/677477501137#bcrumbSearch:sunglass
3,Kanny Devis Black Oval Sunglasses ( Pack of 1 ),Rs. 232,"MRP  Rs. 1,199  (Inclusive of all taxes)",(4.5),Az-Aarjav,(3.9),https://www.snapdeal.com/product/kanny-devis-black-oval-sunglasses/639801389179#bcrumbSearch:sunglass
4,Fair-X Sunglasses Combo ( 2 pairs of sunglasses ),Rs. 357,"MRP  Rs. 1,499  (Inclusive of all taxes)",(4.5),Arizona Fo,(4.1),https://www.snapdeal.com/product/fairx-sunglasses-combo-2-pairs/646821806483#bcrumbSearch:sunglass
5,Fair-X White Oval Sunglasses ( Pack of 1 ),Rs. 305,"MRP  Rs. 1,499  (Inclusive of all taxes)",(4.5),Arizona Fo,(4.1),https://www.snapdeal.com/product/fairx-white-oval-sunglasses-pack/648267060034#bcrumbSearch:sunglass
6,Dyana Core Gold Rectangular Sunglasses ( Pack of 1 ),Rs. 256,MRP  Rs. 599  (Inclusive of all taxes),(4.4),Tanisha Supply Hub,(3.9),https://www.snapdeal.com/product/dyana-core-gold-rectangular-sunglasses/643167258509#bcrumbSearch:sunglass
7,RESIST EYEWEAR Black Round Sunglasses ( Pack of 1 ),Rs. 930,"MRP  Rs. 3,199  (Inclusive of all taxes)",(4.4),Vl Enterprise Llp,(4.2),https://www.snapdeal.com/product/resist-eyewear-black-round-sunglasses/662281106041#bcrumbSearch:sunglass
8,Kanny Devis - Black Wrap Around Sunglasses ( Pack of 1 ),Rs. 151,"MRP  Rs. 1,299  (Inclusive of all taxes)",(4.4),Az-Aarjav,(3.9),https://www.snapdeal.com/product/kanny-devis-black-wrap-around/650274039210#bcrumbSearch:sunglass
9,Peter Jones - Black Rectangular Sunglasses ( Pack of 1 ),Rs. 445,"MRP  Rs. 1,499  (Inclusive of all taxes)",(4.4),Chawla Traders,(3.9),https://www.snapdeal.com/product/peter-jones-black-square-sunglasses/668066306543#bcrumbSearch:sunglass
10,Fair-X - Gold Pilot Sunglasses ( Pack of 1 ),Rs. 216,MRP  Rs. 999  (Inclusive of all taxes),(4.2),Arizona Fo,(4.1),https://www.snapdeal.com/product/fairx-gold-pilot-sunglasses-pack/675760768125#bcrumbSearch:sunglass
11,Clark n' Palmer - Blue Wrap Around Sunglasses ( SM 116 ),Rs. 323,"MRP  Rs. 1,799  (Inclusive of all taxes)",(4.3),Venus Optics,(4.0),https://www.snapdeal.com/product/clark-n-palmer-blue-wrap/653102829247#bcrumbSearch:sunglass
12,Clark n' Palmer - Green Wrap Around Sunglasses ( SM 112 ),Rs. 323,"MRP  Rs. 1,799  (Inclusive of all taxes)",(4.3),Venus Optics,(4.0),https://www.snapdeal.com/product/clark-n-palmer-green-wrap/672864742311#bcrumbSearch:sunglass
13,"RESIST EYEWEAR - Rose Gold Pilot,Round Sunglasses ( Pack of 1 )",Rs. 1077,"MRP  Rs. 4,999  (Inclusive of all taxes)",(4.3),Vl Enterprise Llp,(4.2),https://www.snapdeal.com/product/resist-eyewear-rose-gold-pilotround/661949017982#bcrumbSearch:sunglass
14,Creature - Black Rectangular Sunglasses ( Pack of 1 ),Rs. 223,"MRP  Rs. 1,999  (Inclusive of all taxes)",(4.3),Creature Retail Pvt Ltd,(4.0),https://www.snapdeal.com/product/creature-black-rectangle-pack-of/671865611867#bcrumbSearch:sunglass
15,Creature - Blue Square Sunglasses ( DOIT-104 ),Rs. 218,"MRP  Rs. 1,499  (Inclusive of all taxes)",(4.3),Creature Retail Pvt Ltd,(4.0),https://www.snapdeal.com/product/creature-blue-square-sunglasses-doit104-/671311659993#bcrumbSearch:sunglass
16,Fair-X - Dark Grey Pilot Sunglasses ( Pack of 1 ),Rs. 186,MRP  Rs. 999  (Inclusive of all taxes),(4.2),Arizona Fo,(4.1),https://www.snapdeal.com/product/fairx-dark-grey-pilot-sunglasses/655951506927#bcrumbSearch:sunglass
17,Kanny Devis - Gold Pilot Sunglasses ( Pack of 1 ),Rs. 148,"MRP  Rs. 1,299  (Inclusive of all taxes)",(4.2),Az-Aarjav,(3.9),https://www.snapdeal.com/product/kanny-devis-gold-pilot-sunglasses/651918715835#bcrumbSearch:sunglass
18,Creature - Black Rectangle Sunglasses Pack of 2,Rs. 307,"MRP  Rs. 2,499  (Inclusive of all taxes)",(4.2),Creature Retail Pvt Ltd,(4.0),https://www.snapdeal.com/product/creature-sunglasses-combo-2-pairs/659998036819#bcrumbSearch:sunglass
19,Fair-X - Clear Square Sunglasses ( WFS-111A ),Rs. 221,MRP  Rs. 999  (Inclusive of all taxes),(4.2),Arizona Fo,(4.1),https://www.snapdeal.com/product/fairx-clear-square-sunglasses-wfs111a-/643779944517#bcrumbSearch:sunglass
